generation,individual,fitness_f1,learning_rate,epochs,batch_size,dropout1,dropout2,dropout3,h1,h2,h3,patience
14,19,0.7794871794871794,0.01,70,32,0.4,0.3,0.0,64,32,16,8
14,20,0.5751633986928105,0.01,76,32,0.1,0.0,0.2,64,32,16,8
15,1,0.706422018348624,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
15,2,0.72,0.01,76,16,0.4,0.0,0.0,64,32,16,8
15,3,0.09411764705882353,0.006697902014915023,70,32,0.0,0.3,0.3,64,32,16,8
15,4,0.6390532544378698,0.01,70,32,0.4,0.3,0.0,64,32,16,8
15,5,0.6933333333333334,0.01,70,32,0.4,0.3,0.0,64,32,16,8
15,6,0.7330316742081447,0.005677918413839926,67,64,0.3,0.3,0.0,64,32,16,8
15,7,0.24489795918367346,0.01,67,32,0.4,0.2,0.2,64,32,16,8
15,8,0.5863874345549738,0.005677918413839926,84,16,0.1,0.1,0.2,64,32,16,8
15,9,0.7105263157894737,0.005213981690509149,76,16,0.4,0.0,0.3,64,32,16,8
15,10,0.6701570680628272,0.00995996161818699,67,16,0.2,0.3,0.0,64,32,16,8
15,11,0.655367231638418,0.01,90,16,0.4,0.0,0.0,64,32,16,8
15,12,0.6875,0.01,67,32,0.3,0.3,0.0,64,32,16,8
15,13,0.6483516483516484,0.005677918413839926,70,64,0.4,0.4,0.2,64,32,16,8
15,14,0.5207100591715976,0.01,76,16,0.4,0.0,0.3,64,32,16,8
15,15,0.3076923076923077,0.01,76,32,0.1,0.0,0.2,64,32,16,8
15,16,0.09302325581395349,0.01,76,16,0.4,0.0,0.3,64,32,16,8
15,17,0.7058823529411764,0.01,72,16,0.4,0.0,0.2,64,32,16,8
15,18,0.6439024390243901,0.005677918413839926,84,64,0.0,0.2,0.2,64,32,16,8
15,19,0.2521008403361344,0.006798786838508514,70,32,0.4,0.3,0.0,64,32,16,8
15,20,0.4895104895104895,0.01,70,32,0.4,0.3,0.3,64,32,16,8
16,1,0.5176470588235293,0.00995996161818699,76,16,0.4,0.0,0.3,64,32,16,8
